Ship Mode,Segment,Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
28651,Standard Class,Consumer,Office Supplies,13.194,1,0.7,-21.126,0.38,Medium
28652,Second Class,Corporate,Technology,1505.979,6,0.15,-265.761,498.52,Critical
28653,Standard Class,Corporate,Furniture,1212.56,5,0.2,-45.54,199.99,High
28654,Standard Class,Consumer,Furniture,1487.724,4,0.3,-488.916,124.4,Medium
28655,Second Class,Corporate,Technology,1076.406,4,0.15,-38.034,84.05,Critical
28656,Standard Class,Consumer,Furniture,822.42,2,0.0,123.36,45.16,Medium
28657,Second Class,Consumer,Office Supplies,223.92,8,0.0,66.96,37.08,High
28658,Standard Class,Consumer,Furniture,626.184,4,0.1,-34.896,36.85,Medium
28659,Standard Class,Corporate,Furniture,264.96,3,0.0,108.6,35.2,High
28660,Standard Class,Corporate,Technology,229.608,4,0.7,-176.112,30.71,High
28661,Second Class,Corporate,Office Supplies,117.0,6,0.0,17.46,24.72,Critical
28662,Standard Class,Home Office,Technology,485.68668,3,0.002,8.74668,22.19,Medium
28663,Same Day,Consumer,Office Supplies,81.96,4,0.0,32.76,21.99,Critical
28664,Same Day,Corporate,Office Supplies,67.41,6,0.5,-67.41,21.79,Critical
28665,Standard Class,Corporate,Office Supplies,363.68,4,0.0,18.16,19.12,High
28666,Standard Class,Corporate,Office Supplies,189.44,2,0.0,75.76,18.29,High
28667,Standard Class,Consumer,Office Supplies,197.94,1,0.0,96.99,13.87,Medium
28668,Standard Class,Corporate,Furniture,178.776,4,0.7,-345.744,13.43,High
28669,Second Class,Consumer,Office Supplies,113.82,2,0.0,53.46,12.51,Medium
28670,Same Day,Consumer,Office Supplies,54.6,4,0.0,7.56,11.47,Critical
28671,First Class,Corporate,Furniture,37.8,3,0.0,16.2,10.56,Critical
28672,Second Class,Consumer,Office Supplies,107.44,8,0.0,27.9344,9.47,Medium
28673,Standard Class,Consumer,Office Supplies,134.16,1,0.0,12.06,9.17,Medium
28674,Standard Class,Corporate,Office Supplies,99.72,3,0.0,39.84,8.42,High
28675,Same Day,Consumer,Office Supplies,22.005,1,0.1,-2.445,8.18,Critical
28676,Standard Class,Home Office,Office Supplies,110.25,5,0.0,19.8,7.21,Medium
28677,Same Day,Home Office,Technology,30.816,2,0.4,-14.384,6.81,Medium
28678,First Class,Consumer,Office Supplies,39.123,3,0.1,-0.027,6.4,High
28679,Standard Class,Corporate,Office Supplies,92.82,3,0.0,0.0,6.26,High
28680,Standard Class,Corporate,Office Supplies,52.56,3,0.0,12.6,6.22,High
28681,Standard Class,Home Office,Technology,83.67,1,0.0,27.6,5.95,Medium
28682,Second Class,Consumer,Technology,57.06,3,0.0,18.2592,5.8,Medium
28683,Standard Class,Consumer,Office Supplies,83.88,3,0.0,30.96,5.49,Medium
28684,Second Class,Consumer,Technology,71.6,8,0.0,13.604,5.48,Medium
28685,Standard Class,Corporate,Office Supplies,40.0,5,0.0,6.4,5.47,High
28686,Standard Class,Corporate,Office Supplies,65.2,4,0.0,24.08,5.14,High
28687,Standard Class,Corporate,Office Supplies,47.64,3,0.0,15.24,4.69,High
28688,Second Class,Consumer,Technology,119.7,6,0.0,31.122,4.37,Medium
28689,Second Class,Consumer,Office Supplies,59.1,6,0.0,22.458,3.28,Medium
28690,Standard Class,Consumer,Furniture,62.31,1,0.0,13.68,3.22,Medium
28691,Second Class,Consumer,Office Supplies,46.53,3,0.0,12.0978,2.54,Medium
28692,Standard Class,Consumer,Office Supplies,27.09,1,0.0,10.83,2.53,Medium
28693,Standard Class,Corporate,Technology,37.9,1,0.0,5.68,2.51,High
28694,Standard Class,Corporate,Office Supplies,24.24,3,0.2,-3.96,2.5,High
28695,Standard Class,Consumer,Office Supplies,16.11,1,0.0,5.31,2.44,High
28696,Standard Class,Home Office,Office Supplies,31.72,2,0.0,10.12,2.14,Medium
28697,Second Class,Consumer,Office Supplies,17.456,2,0.2,5.8914,2.07,High
28698,Standard Class,Corporate,Office Supplies,20.8662,2,0.17,-3.7938,1.9,Low
28699,Second Class,Consumer,Office Supplies,21.54,2,0.0,6.0,1.83,Medium
28700,Standard Class,Home Office,Office Supplies,53.64,3,0.0,14.4,1.69,Medium
28701,Standard Class,Consumer,Office Supplies,23.46,2,0.0,10.74,1.49,Medium
28702,Standard Class,Consumer,Office Supplies,26.22,2,0.0,1.8,1.39,Medium
28703,Second Class,Consumer,Office Supplies,22.08,2,0.0,3.3,1.36,High
28704,Standard Class,Corporate,Office Supplies,8.442,2,0.7,-15.498,1.05,High
28705,Second Class,Consumer,Office Supplies,18.75,5,0.0,9.0,1.04,Medium
28706,Standard Class,Consumer,Office Supplies,9.24,1,0.0,2.85,1.03,Medium
28707,Standard Class,Home Office,Office Supplies,10.272,3,0.2,3.21,0.94,Medium
28708,Standard Class,Home Office,Office Supplies,13.776,6,0.8,-22.0416,0.91,Medium
28709,Second Class,Consumer,Office Supplies,7.31,1,0.0,3.4357,0.88,Medium
28710,Standard Class,Home Office,Office Supplies,10.53,1,0.0,2.82,0.81,Medium
28711,Standard Class,Corporate,Office Supplies,4.203,1,0.7,-4.647,0.7,High
28712,Second Class,Consumer,Office Supplies,9.144,3,0.2,3.0861,0.35,Medium
28713,Standard Class,Home Office,Office Supplies,4.608,2,0.2,1.6704,0.22,Medium
28714,Second Class,Corporate,Office Supplies,474.984,4,0.4,-237.576,163.42,Critical
28715,Standard Class,Corporate,Technology,2016.846,9,0.15,-0.054,160.41,Medium
28716,Second Class,Corporate,Technology,311.76,12,0.0,12.24,57.74,Critical
28717,Standard Class,Corporate,Furniture,730.0125,9,0.25,-38.9475,57.02,High
28718,Standard Class,Home Office,Office Supplies,348.81,7,0.0,24.36,38.22,High
28719,Standard Class,Consumer,Furniture,317.058,3,0.3,-18.1176,30.33,Medium
28720,Standard Class,Home Office,Office Supplies,125.22,2,0.0,22.5,22.06,High
28721,Second Class,Corporate,Office Supplies,241.65,5,0.0,9.6,19.59,Critical
28722,Standard Class,Consumer,Technology,287.968,4,0.2,97.1892,18.09,High
28723,Standard Class,Consumer,Office Supplies,149.352,3,0.2,50.4063,14.15,Medium
28724,Second Class,Corporate,Office Supplies,56.61,3,0.0,14.13,14.11,Critical
28725,Second Class,Corporate,Office Supplies,57.528,4,0.4,-36.552,10.86,Critical
28726,Standard Class,Corporate,Office Supplies,133.12,4,0.0,50.56,8.7,Medium
28727,Standard Class,Consumer,Technology,227.976,3,0.2,28.497,7.22,Medium
28728,Second Class,Corporate,Office Supplies,38.82,2,0.0,17.82,4.24,Critical
28729,Standard Class,Corporate,Office Supplies,64.8,6,0.0,32.4,4.21,Medium
28730,Second Class,Corporate,Office Supplies,24.0,2,0.0,0.96,3.93,Critical
28731,Standard Class,Corporate,Office Supplies,80.55,5,0.0,24.15,3.84,Medium
28732,Standard Class,Corporate,Office Supplies,48.384,2,0.1,6.984,3.6,Medium
28733,Standard Class,Home Office,Office Supplies,54.18,6,0.0,19.98,3.5,Medium
28734,Standard Class,Corporate,Office Supplies,30.6,5,0.0,1.2,2.68,Medium
28735,Standard Class,Home Office,Office Supplies,33.24,2,0.0,12.24,2.1,High
28736,Standard Class,Consumer,Office Supplies,10.75,5,0.0,3.5475,1.79,High
28737,First Class,Home Office,Office Supplies,5.364,2,0.7,-8.616,1.56,Critical
28738,Standard Class,Home Office,Office Supplies,8.04,1,0.0,2.88,0.99,High
28739,Standard Class,Consumer,Office Supplies,11.62,2,0.0,3.6022,0.96,High
28740,Standard Class,Consumer,Office Supplies,13.12,4,0.0,3.8048,0.6,High
28741,Standard Class,Consumer,Office Supplies,2.688,2,0.2,1.008,0.1,Medium
28742,Second Class,Home Office,Technology,1479.36,12,0.0,103.44,231.96,Medium
28743,Second Class,Corporate,Technology,1134.81,9,0.0,453.87,197.68,High
28744,Standard Class,Consumer,Furniture,1657.08,6,0.0,364.44,107.34,Medium
28745,Second Class,Corporate,Technology,244.768,4,0.2,24.4768,64.52,High
28746,First Class,Consumer,Office Supplies,115.44,3,0.0,30.0144,37.95,High
28747,Second Class,Home Office,Office Supplies,947.17,7,0.0,9.4717,36.83,Medium
28748,First Class,Home Office,Technology,191.592,4,0.4,-60.768,21.63,Medium
28749,Standard Class,Consumer,Technology,250.992,2,0.1,25.092,20.46,Medium
28750,Standard Class,Consumer,Office Supplies,260.415,5,0.1,8.565,19.88,Medium
28751,First Class,Consumer,Technology,106.5,6,0.0,41.535,16.24,High
28752,First Class,Home Office,Technology,171.09,1,0.0,66.72,14.85,Medium
28753,Second Class,Corporate,Technology,97.968,2,0.2,6.123,14.04,High
28754,Second Class,Home Office,Technology,189.5,5,0.0,28.4,11.62,Medium
28755,Standard Class,Corporate,Furniture,274.6407,1,0.47,-207.2793,10.47,Medium
28756,Standard Class,Consumer,Furniture,112.54,1,0.0,46.14,9.8,Medium
28757,Standard Class,Consumer,Furniture,89.99,1,0.0,17.0981,8.69,Medium
28758,Second Class,Corporate,Office Supplies,74.352,3,0.2,6.5058,8.49,High
28759,Second Class,Home Office,Office Supplies,61.96,2,0.0,27.882,8.38,Medium
28760,Standard Class,Consumer,Office Supplies,75.18,6,0.0,35.3346,7.07,Medium
28761,Standard Class,Corporate,Furniture,81.0738,2,0.27,-2.2662,6.36,Medium
28762,Second Class,Corporate,Furniture,56.686,1,0.3,-20.245,6.26,High
28763,Second Class,Consumer,Technology,50.12436,1,0.402,-20.29564,4.74,Medium
28764,Standard Class,Consumer,Furniture,58.6,2,0.0,0.0,4.61,Medium
28765,Second Class,Home Office,Office Supplies,34.98,3,0.0,9.06,3.49,Medium
28766,Standard Class,Consumer,Office Supplies,38.22,6,0.0,17.9634,3.47,Medium
28767,Second Class,Corporate,Technology,41.424,2,0.2,8.2848,3.11,High
28768,Standard Class,Consumer,Office Supplies,32.48,2,0.0,15.56,2.45,Medium
28769,Standard Class,Consumer,Office Supplies,44.793,3,0.1,14.913,2.42,Medium
28770,Second Class,Consumer,Office Supplies,21.93,3,0.0,10.3071,2.33,Medium
28771,Second Class,Corporate,Office Supplies,15.552,3,0.2,5.4432,2.33,High
28772,First Class,Home Office,Furniture,37.011,2,0.27,-6.129,1.94,Medium
28773,Second Class,Corporate,Office Supplies,7.872,3,0.2,0.8856,1.14,High
28774,Second Class,Corporate,Office Supplies,4.312,2,0.8,-6.8992,0.81,High
28775,Standard Class,Consumer,Office Supplies,11.06,1,0.0,1.42,0.46,Medium
28776,Standard Class,Consumer,Furniture,6.16,2,0.0,2.9568,0.35,Medium
28777,Second Class,Corporate,Office Supplies,1.476,1,0.8,-2.2878,0.17,High
28778,First Class,Consumer,Technology,1601.64,5,0.1,587.19,511.47,Critical
28779,Second Class,Consumer,Technology,678.79968,6,0.002,202.63968,130.38,High
28780,Second Class,Corporate,Furniture,720.48,5,0.2,135.03,114.97,High
28781,Second Class,Consumer,Technology,680.28,4,0.0,231.24,57.3,Medium
28782,Same Day,Home Office,Office Supplies,137.79,1,0.0,17.91,52.44,Critical
28783,Standard Class,Consumer,Furniture,257.499,3,0.15,24.2352,37.85,High
28784,Standard Class,Home Office,Furniture,491.76,4,0.0,83.52,32.74,Medium
28785,Second Class,Consumer,Technology,271.6,5,0.0,59.7,31.01,High
28786,Second Class,Consumer,Technology,621.18,2,0.0,236.04,29.14,Medium
28787,Standard Class,Consumer,Office Supplies,126.88,4,0.0,31.68,18.61,High
28788,Second Class,Corporate,Office Supplies,123.552,4,0.2,37.032,16.69,High
28789,Standard Class,Home Office,Furniture,144.66,1,0.0,24.57,11.81,Medium
28790,Standard Class,Home Office,Technology,303.0664,2,0.402,-82.1336,10.51,Medium
28791,Standard Class,Corporate,Furniture,132.048,3,0.4,-55.032,9.89,Medium
28792,Standard Class,Consumer,Office Supplies,83.79,3,0.0,34.29,9.62,High
28793,Standard Class,Corporate,Furniture,79.12,5,0.2,13.846,7.47,High
28794,Second Class,Corporate,Technology,78.273,1,0.1,10.413,7.09,High
28795,Second Class,Consumer,Office Supplies,99.72,2,0.0,0.0,7.01,Medium
28796,Second Class,Consumer,Office Supplies,12.6,2,0.6,-15.48,5.15,Critical
28797,Second Class,Consumer,Technology,90.64,2,0.0,7.24,3.92,High
28798,Second Class,Home Office,Technology,36.792,1,0.2,4.1391,3.31,Medium
28799,Second Class,Consumer,Technology,144.18,1,0.0,7.2,3.22,Medium
28800,Standard Class,Consumer,Office Supplies,28.62,9,0.0,12.78,3.21,Medium
28801,Standard Class,Home Office,Office Supplies,34.47,3,0.0,9.99,2.8,Medium
28802,Standard Class,Home Office,Office Supplies,29.05,5,0.0,9.0055,2.26,High
28803,Standard Class,Home Office,Furniture,26.604,3,0.4,-7.116,2.24,Medium
28804,Standard Class,Home Office,Furniture,76.52,2,0.0,13.76,2.01,Medium
28805,Standard Class,Home Office,Office Supplies,21.552,2,0.4,-11.168,1.25,Medium
28806,Standard Class,Home Office,Office Supplies,24.84,3,0.0,9.18,1.18,Medium
28807,Second Class,Home Office,Furniture,18.624,8,0.2,6.2856,1.05,Medium
28808,Standard Class,Home Office,Office Supplies,11.472,2,0.4,-3.288,1.03,Medium
28809,Standard Class,Home Office,Office Supplies,16.128,3,0.4,1.308,0.85,Medium
28810,Standard Class,Corporate,Office Supplies,10.74,1,0.0,3.96,0.73,Medium
28811,Standard Class,Home Office,Office Supplies,2.364,1,0.4,-0.796,0.19,Medium
28812,First Class,Consumer,Technology,716.1,5,0.0,343.65,120.72,High
28813,Standard Class,Home Office,Technology,2549.985,5,0.7,-3399.98,120.31,Medium
28814,Standard Class,Consumer,Office Supplies,1451.511,3,0.15,-256.149,58.77,Medium
28815,First Class,Consumer,Furniture,712.992,3,0.2,213.852,56.8,Medium
28816,Standard Class,Consumer,Furniture,612.198,3,0.55,-81.702,40.47,Medium
28817,Standard Class,Corporate,Furniture,187.92,2,0.0,67.62,30.28,High
28818,Standard Class,Consumer,Furniture,218.352,3,0.2,-19.1058,27.16,Medium
28819,First Class,Consumer,Office Supplies,145.05,5,0.0,26.1,25.15,High
28820,First Class,Corporate,Furniture,95.28,4,0.0,11.4,19.56,High
28821,Standard Class,Corporate,Office Supplies,295.92,6,0.0,32.4,16.47,High
28822,First Class,Corporate,Office Supplies,128.385,3,0.1,4.275,15.19,High
28823,Standard Class,Corporate,Office Supplies,114.372,4,0.7,-133.548,13.86,Medium
28824,Standard Class,Consumer,Technology,274.89,11,0.0,46.7313,13.56,Medium
28825,First Class,Home Office,Office Supplies,90.48,8,0.0,7.92,12.57,Medium
28826,Same Day,Consumer,Office Supplies,57.06,6,0.0,2.7,11.49,High
28827,Same Day,Consumer,Office Supplies,40.68,4,0.0,12.96,9.42,High
28828,Standard Class,Corporate,Office Supplies,195.136,4,0.2,-43.9056,9.32,Medium
28829,First Class,Consumer,Furniture,60.312,3,0.2,5.2773,9.02,High
28830,Standard Class,Consumer,Technology,125.4045,1,0.35,-25.1055,6.85,Medium
28831,Standard Class,Consumer,Office Supplies,86.94,4,0.5,-78.3,6.27,Medium
28832,First Class,Home Office,Office Supplies,19.68,1,0.0,3.12,3.68,Medium
28833,First Class,Home Office,Office Supplies,14.28,2,0.0,5.52,3.54,High
28834,Standard Class,Consumer,Office Supplies,28.14,3,0.0,13.5072,2.84,Medium
28835,Standard Class,Home Office,Office Supplies,21.594,2,0.7,-15.8356,2.77,Medium
28836,Standard Class,Corporate,Office Supplies,27.78,1,0.0,6.93,2.44,Medium
28837,Standard Class,Consumer,Furniture,173.6451,9,0.27,7.0551,2.34,Medium
28838,Standard Class,Corporate,Office Supplies,44.43,1,0.0,14.64,2.32,Medium
28839,Standard Class,Corporate,Office Supplies,22.86,2,0.0,9.78,2.21,High
28840,Standard Class,Consumer,Office Supplies,23.04,8,0.0,11.2896,2.01,Medium
28841,Standard Class,Consumer,Office Supplies,32.6688,1,0.17,1.9488,1.99,Medium
28842,Standard Class,Corporate,Office Supplies,11.37,1,0.0,2.61,1.53,High
28843,Standard Class,Corporate,Office Supplies,13.53,1,0.0,3.24,1.42,Medium
28844,Standard Class,Consumer,Office Supplies,28.2366,2,0.17,5.4366,1.11,Medium
28845,Standard Class,Home Office,Office Supplies,12.03,5,0.7,-9.223,1.04,Medium
28846,Standard Class,Consumer,Office Supplies,17.0316,2,0.17,5.9316,1.01,Medium
28847,Standard Class,Home Office,Office Supplies,20.736,4,0.2,7.2576,0.98,Medium
28848,Standard Class,Consumer,Office Supplies,10.9,5,0.0,3.597,0.69,Medium
28849,Standard Class,Consumer,Office Supplies,7.38,2,0.0,3.4686,0.62,Medium
28850,Standard Class,Corporate,Office Supplies,14.01,1,0.0,5.16,0.57,Medium
28851,Standard Class,Home Office,Office Supplies,8.964,6,0.7,-6.5736,0.51,Medium
28852,Second Class,Consumer,Office Supplies,6.948,4,0.7,-9.972,0.51,Medium
28853,Standard Class,Consumer,Office Supplies,2.955,1,0.5,-2.445,0.22,Medium
28854,Second Class,Corporate,Technology,785.61,3,0.0,157.05,108.6,High
28855,Standard Class,Consumer,Furniture,1058.58,6,0.0,105.84,86.92,Low
28856,Standard Class,Corporate,Office Supplies,1383.36,5,0.2,-224.84,76.05,Medium
28857,Standard Class,Consumer,Office Supplies,964.53,7,0.0,125.37,71.29,Low
28858,Standard Class,Corporate,Furniture,697.584,4,0.4,-209.296,67.79,Medium
28859,Standard Class,Consumer,Technology,779.796,2,0.4,-168.9558,56.75,Medium
28860,Standard Class,Consumer,Office Supplies,396.84,2,0.0,67.44,49.51,High
28861,Second Class,Consumer,Furniture,149.232,3,0.2,3.7308,47.02,Critical
28862,Standard Class,Corporate,Technology,437.088,6,0.2,-38.352,41.15,Medium
28863,Same Day,Home Office,Office Supplies,94.05,5,0.0,15.9,26.81,Medium
28864,Standard Class,Corporate,Office Supplies,262.65,5,0.0,31.5,24.85,High
28865,First Class,Consumer,Office Supplies,119.68,4,0.0,55.04,22.14,High
28866,Same Day,Home Office,Office Supplies,509.52,11,0.0,132.33,20.78,Medium
28867,Standard Class,Consumer,Furniture,192.6324,3,0.27,39.5424,20.11,Medium
28868,Standard Class,Home Office,Office Supplies,155.8,5,0.0,51.4,16.37,Low
28869,Standard Class,Corporate,Furniture,126.948,2,0.8,-488.772,14.94,High
28870,Second Class,Home Office,Furniture,172.044,3,0.4,-106.116,14.33,Medium
28871,Standard Class,Consumer,Furniture,87.3,2,0.0,27.06,11.53,Low
28872,Standard Class,Corporate,Technology,122.88,4,0.0,36.84,10.45,Medium
28873,Standard Class,Consumer,Technology,76.74,2,0.0,1.5,8.73,High
28874,Standard Class,Corporate,Technology,148.8,2,0.0,2.94,7.97,Medium
28875,Second Class,Consumer,Office Supplies,47.64,1,0.0,23.34,7.89,High
28876,Standard Class,Corporate,Furniture,149.58,1,0.0,47.85,7.57,Medium
28877,Standard Class,Consumer,Office Supplies,43.2,3,0.4,-20.16,6.82,Low
28878,Second Class,Consumer,Office Supplies,15.936,4,0.2,5.7768,3.85,Critical
28879,Standard Class,Home Office,Office Supplies,53.568,2,0.1,-2.412,3.46,Medium
28880,Standard Class,Corporate,Office Supplies,50.868,3,0.1,-1.152,3.26,Medium
28881,Standard Class,Corporate,Furniture,43.65,3,0.5,-30.57,3.22,Medium
28882,First Class,Consumer,Office Supplies,19.23,1,0.0,1.14,2.19,High
28883,Standard Class,Corporate,Office Supplies,48.93,1,0.0,14.67,1.54,Medium
28884,Standard Class,Corporate,Office Supplies,14.016,3,0.2,-1.104,1.52,Medium
28885,Standard Class,Corporate,Technology,21.088,1,0.2,2.888,1.34,Medium
28886,Second Class,Consumer,Office Supplies,3.984,1,0.2,1.4442,0.2,Medium
28887,First Class,Corporate,Office Supplies,692.7,5,0.0,13.8,83.3,Medium
28888,Standard Class,Home Office,Technology,1305.36,3,0.0,443.82,78.94,Medium
28889,Standard Class,Consumer,Furniture,437.61,1,0.0,210.03,54.21,High
28890,Standard Class,Consumer,Technology,458.64,8,0.0,187.92,46.27,Medium
28891,Standard Class,Consumer,Furniture,727.536,2,0.2,-81.864,40.61,Medium
28892,Standard Class,Corporate,Furniture,451.2,4,0.0,85.68,29.59,Medium
28893,Same Day,Consumer,Office Supplies,109.53,3,0.0,16.38,26.88,High
28894,Same Day,Consumer,Office Supplies,207.12,4,0.0,76.56,25.17,High
28895,Standard Class,Consumer,Office Supplies,296.55,3,0.0,103.77,18.71,Medium
28896,Standard Class,Corporate,Office Supplies,88.74,3,0.0,0.81,10.09,Medium
28897,Standard Class,Consumer,Office Supplies,206.4,1,0.0,92.88,10.06,Medium
28898,Standard Class,Consumer,Office Supplies,100.38,7,0.0,50.19,8.32,Medium
28899,Second Class,Corporate,Office Supplies,55.14,1,0.0,10.47,7.4,Medium
28900,Standard Class,Consumer,Office Supplies,37.62,6,0.0,17.64,2.5,Medium
28901,Standard Class,Consumer,Office Supplies,34.74,3,0.0,2.43,2.38,Medium
28902,Standard Class,Consumer,Office Supplies,16.5,2,0.0,7.08,1.39,Medium
28903,Standard Class,Home Office,Furniture,24.966,2,0.27,-0.354,1.13,Medium
28904,Standard Class,Corporate,Office Supplies,10.86,2,0.0,5.3214,1.0,Medium
28905,Standard Class,Corporate,Office Supplies,7.884,2,0.4,-3.996,0.42,Medium
28906,First Class,Consumer,Office Supplies,240.96,8,0.0,45.6,59.13,High
28907,Standard Class,Consumer,Furniture,345.096,3,0.2,4.266,46.55,High
28908,Standard Class,Home Office,Technology,250.38,3,0.0,120.15,33.77,High
28909,First Class,Consumer,Technology,113.52,4,0.0,21.48,31.17,High
28910,First Class,Consumer,Office Supplies,206.52,4,0.0,35.04,30.85,High
28911,Standard Class,Consumer,Technology,248.08284,3,0.002,108.82284,20.74,Medium
28912,First Class,Home Office,Technology,77.28,2,0.0,33.2,16.1,Medium
28913,First Class,Consumer,Furniture,173.24,4,0.0,17.324,15.19,High
28914,First Class,Consumer,Office Supplies,65.17,7,0.0,18.8993,10.89,High
28915,First Class,Home Office,Office Supplies,52.98,3,0.0,5.28,8.31,Medium
28916,First Class,Home Office,Office Supplies,117.96,6,0.0,50.64,5.6,Medium
28917,First Class,Corporate,Office Supplies,34.16,4,0.0,17.04,4.31,Medium
28918,Standard Class,Consumer,Office Supplies,36.855,7,0.5,-34.755,3.96,High
28919,First Class,Consumer,Office Supplies,14.62,2,0.0,6.8714,3.28,High
28920,First Class,Corporate,Office Supplies,9.76,2,0.0,0.68,2.46,Medium
28921,Second Class,Consumer,Office Supplies,34.29,3,0.0,12.33,2.45,High
28922,First Class,Consumer,Office Supplies,30.528,8,0.2,9.54,2.44,Medium
28923,First Class,Consumer,Furniture,22.608,3,0.6,-10.1736,2.41,Medium
28924,Standard Class,Corporate,Office Supplies,27.018,6,0.7,-21.6144,1.79,High
28925,Standard Class,Consumer,Office Supplies,20.412,2,0.4,2.352,1.31,Medium
28926,First Class,Consumer,Office Supplies,7.896,3,0.2,2.4675,0.57,Medium
28927,Standard Class,Corporate,Office Supplies,2.952,2,0.7,-2.1648,0.27,High
28928,First Class,Consumer,Office Supplies,2.89,1,0.8,-4.7685,0.21,Medium
28929,Standard Class,Corporate,Technology,124.836,1,0.6,-165.414,16.83,High
28930,Standard Class,Consumer,Office Supplies,35.9,5,0.0,3.2,2.83,Medium
28931,Second Class,Consumer,Furniture,1814.25,5,0.0,653.1,274.63,High
28932,Second Class,Corporate,Furniture,518.784,8,0.2,58.304,40.81,High
28933,Standard Class,Consumer,Office Supplies,277.56,5,0.1,61.56,37.05,Low
28934,Second Class,Consumer,Technology,373.23,3,0.0,59.67,34.46,High
28935,Standard Class,Consumer,Furniture,338.4,2,0.0,138.72,25.35,Medium
28936,Standard Class,Consumer,Technology,410.67,9,0.1,-36.72,24.92,Low
28937,Second Class,Consumer,Technology,262.764,2,0.1,102.144,21.79,High
28938,Second Class,Corporate,Technology,149.6,2,0.0,56.84,21.63,High
28939,Standard Class,Consumer,Technology,234.2,5,0.0,4.6,18.79,Medium
28940,Standard Class,Consumer,Furniture,147.712,2,0.2,12.912,17.73,High
28941,First Class,Consumer,Technology,85.428,2,0.7,-185.112,14.04,High
28942,Standard Class,Consumer,Technology,139.8,5,0.2,12.2325,13.8,Medium
28943,Second Class,Corporate,Office Supplies,136.1,5,0.0,50.3,12.85,High
28944,Second Class,Consumer,Furniture,103.68,4,0.5,-45.72,12.28,Medium
28945,Standard Class,Corporate,Technology,170.07,1,0.0,57.81,12.27,High
28946,Second Class,Corporate,Office Supplies,67.28,2,0.0,29.6,7.34,High
28947,Second Class,Corporate,Office Supplies,70.56,4,0.0,23.92,5.12,High
28948,Standard Class,Corporate,Office Supplies,50.7,2,0.0,13.68,3.81,Low
28949,Second Class,Corporate,Office Supplies,16.0,2,0.0,2.56,2.88,High
28950,Second Class,Corporate,Office Supplies,15.68,2,0.0,6.56,2.79,High
28951,Second Class,Consumer,Office Supplies,28.89,2,0.1,-0.03,2.4,High
28952,Second Class,Corporate,Furniture,70.08,4,0.4,-5.84,2.24,High
28953,First Class,Consumer,Technology,8.127,1,0.7,-12.753,2.13,High
28954,First Class,Consumer,Office Supplies,12.501,1,0.7,-27.099,2.02,High
28955,Standard Class,Consumer,Office Supplies,11.32,1,0.0,3.16,1.14,High
28956,First Class,Consumer,Office Supplies,3.6,1,0.7,-7.92,1.06,High
28957,Second Class,Consumer,Furniture,2364.102,4,0.35,-218.298,338.1,Medium
28958,Second Class,Consumer,Office Supplies,689.094,14,0.1,-53.886,204.72,Critical
28959,Second Class,Home Office,Technology,899.82,3,0.0,359.91,116.76,High
28960,Second Class,Home Office,Technology,716.1,5,0.0,35.7,95.7,High
28961,Same Day,Consumer,Technology,492.84,3,0.0,4.92,88.75,Critical
28962,First Class,Corporate,Furniture,643.136,4,0.2,56.2744,84.5,High
28963,First Class,Home Office,Office Supplies,395.88,2,0.0,71.22,78.32,High
28964,First Class,Consumer,Furniture,370.35,3,0.0,151.83,76.7,High
28965,Standard Class,Consumer,Technology,445.554,2,0.1,128.694,75.83,High
28966,Standard Class,Consumer,Technology,334.8,5,0.1,78.0,62.78,High
28967,Second Class,Consumer,Technology,328.644,4,0.1,51.084,60.25,Critical
28968,First Class,Consumer,Furniture,534.18,2,0.0,16.02,42.51,High
28969,Standard Class,Consumer,Furniture,585.69,7,0.0,122.85,36.68,Medium
28970,Standard Class,Consumer,Technology,467.97,3,0.0,140.391,35.22,Medium
28971,Standard Class,Consumer,Technology,717.12,3,0.0,93.15,34.28,Medium
28972,Second Class,Consumer,Office Supplies,87.21,2,0.1,-9.69,31.72,Critical
28973,Standard Class,Consumer,Technology,530.22,2,0.0,180.24,29.35,Medium
28974,Standard Class,Consumer,Technology,365.25,5,0.0,116.85,26.47,Medium
28975,Standard Class,Consumer,Furniture,444.312,6,0.4,-89.028,22.98,Medium
28976,Standard Class,Consumer,Office Supplies,450.04,2,0.0,58.5052,20.66,Medium
28977,First Class,Consumer,Technology,222.66,6,0.0,33.3,20.52,High
28978,Standard Class,Corporate,Office Supplies,142.464,14,0.47,-121.296,15.33,Medium
28979,Second Class,Consumer,Technology,146.4,2,0.0,61.44,13.74,Medium
28980,Standard Class,Consumer,Office Supplies,152.442,3,0.1,25.362,13.19,Medium
28981,Standard Class,Consumer,Office Supplies,143.76,8,0.0,32.88,12.65,Medium
28982,Second Class,Consumer,Furniture,119.799,1,0.1,50.559,10.88,Medium
28983,Standard Class,Corporate,Technology,140.7597,1,0.17,25.4097,9.38,Medium
28984,Standard Class,Consumer,Office Supplies,51.98,2,0.0,15.0742,8.76,High
28985,Same Day,Consumer,Office Supplies,25.12,2,0.0,1.72,8.66,Critical
28986,First Class,Consumer,Office Supplies,28.98,2,0.0,9.54,8.47,Critical
28987,First Class,Consumer,Office Supplies,31.14,2,0.0,9.3,7.51,Critical
28988,Second Class,Home Office,Office Supplies,95.04,2,0.0,46.56,6.75,High
